name,year,temparature
Arusha, 2010 ,21.8801575768
Arusha, 2009 ,21.8919813356
Arusha, 2008 ,21.2374834773
Arusha, 2007 ,21.378660031
Arusha, 2006 ,21.6064392361
Arusha, 2005 ,22.0218213379
Arusha, 2004 ,21.8073159997
Arusha, 2003 ,22.0638462368
Arusha, 2002 ,21.8838901354
Arusha, 2001 ,21.5214872943
Arusha, 2000 ,21.5258394734
Kagera, 2016 ,22.3584687122
Kagera, 2015 ,21.9218314683
Kagera, 2014 ,21.9638630429
Kagera, 2013 ,21.8808876612
Kagera, 2012 ,21.9735868416
Kagera, 2011 ,21.8382228224
Kagera, 2010 ,22.2533126912
Kagera, 2009 ,22.4579820568
Kagera, 2008 ,21.7940682968
Kagera, 2007 ,21.9084730238
Kagera, 2006 ,22.0303159527
Kagera, 2005 ,22.6624560989
Kagera, 2004 ,22.4376757782
Kagera, 2003 ,22.5875427102
Kagera, 2002 ,22.4518447264
Kagera, 2001 ,22.165160684
Kagera, 2000 ,21.9475166844
Mbeya, 2016 ,21.7358444684
Mbeya, 2015 ,21.637147261
Mbeya, 2014 ,21.494514468
Mbeya, 2013 ,21.4670355206
Mbeya, 2012 ,21.3492853475
Mbeya, 2011 ,21.2388866132
Mbeya, 2010 ,21.7451817765
Mbeya, 2009 ,21.4217863179
Mbeya, 2008 ,21.0798121078
Mbeya, 2007 ,21.390193521
Mbeya, 2006 ,21.4175440268
Mbeya, 2005 ,22.0973447465
Mbeya, 2004 ,21.5841311772
Mbeya, 2003 ,21.851719329
Mbeya, 2002 ,21.5626578491
Mbeya, 2001 ,21.5014051413
Mbeya, 2000 ,21.3640697716
Singida, 2016 ,22.635016267
Singida, 2015 ,22.4107087482
Singida, 2014 ,22.3614464808
Singida, 2013 ,22.2948092705
Singida, 2012 ,22.2713917939
Singida, 2011 ,22.0694255107
Singida, 2010 ,22.4390802154
Singida, 2009 ,22.3230915226
Singida, 2008 ,21.7884419136
Singida, 2007 ,22.0311019698
Singida, 2006 ,22.1622877173
Singida, 2005 ,22.7862971017
Singida, 2004 ,22.3421258754
Singida, 2003 ,22.7245512289
Singida, 2002 ,22.399494493
Singida, 2001 ,22.2512471449
Singida, 2000 ,22.2311311269
Mtwara, 2016 ,25.4535301154
Mtwara, 2015 ,25.7368707765
Mtwara, 2014 ,25.4103942216
Mtwara, 2013 ,25.412182474
Mtwara, 2012 ,25.2137185924
Mtwara, 2011 ,25.3371733154
Mtwara, 2010 ,25.6912944675
Mtwara, 2009 ,25.4670337881
Mtwara, 2008 ,25.2001120204
Mtwara, 2007 ,25.5355071921
Mtwara, 2006 ,25.4197805596
Mtwara, 2005 ,25.7717340093
Mtwara, 2004 ,25.3050472268
Mtwara, 2003 ,25.6880173057
Mtwara, 2002 ,25.4528943908
Mtwara, 2001 ,25.4045843031
Mtwara, 2000 ,25.1855241174
Iringa, 2016 ,21.7628087811
Iringa, 2015 ,21.73032404
Iringa, 2014 ,21.533399594
Iringa, 2013 ,21.5053332621
Iringa, 2012 ,21.3693651395
Iringa, 2011 ,21.2957033715
Iringa, 2010 ,21.6911114993
Iringa, 2009 ,21.4930679927
Iringa, 2008 ,21.1101443049
Iringa, 2007 ,21.3839152638
Iringa, 2006 ,21.4768242266
Iringa, 2005 ,22.0080298972
Iringa, 2004 ,21.499294867
Iringa, 2003 ,21.8804885569
Iringa, 2002 ,21.5704250302
Iringa, 2001 ,21.4768971242
Iringa, 2000 ,21.3803067362
Dar es Salaam, 2016 ,26.7690706828
Dar es Salaam, 2015 ,26.7940536995
Dar es Salaam, 2014 ,26.5453248975
Dar es Salaam, 2013 ,26.4367904855
Dar es Salaam, 2012 ,26.2984235982
Dar es Salaam, 2011 ,26.3125659542
Dar es Salaam, 2010 ,26.5919233161
Dar es Salaam, 2009 ,26.5165417273
Dar es Salaam, 2008 ,26.0963717954
Dar es Salaam, 2007 ,26.3083844591
Dar es Salaam, 2006 ,26.2617789957
Dar es Salaam, 2005 ,26.6201175663
Dar es Salaam, 2004 ,26.360332127
